	PVin	PVA	NBh	NBhū	NV	PDhS	AvNir	PV	NyKand	VyV	PVV	NM	TriṃśBh
1	I,034,i												
2							06,iv_06,v						
3								4.158cd_4.163cd					
4									338,i^2				
5										II,055,13_II,055,15			
6					473,01_473,02								
7										II,055,20			
8			1046,i_1046,iii										
9									338,i^1				
10											179,ii_179,iii		
11			1045,iii_1045,v										
12									93,i^3				
13					482,04_482,05								
14					473,10_473,11								
15									332,i				
16						131,13_132,2							
17											241,i_241,iii		
18									336,i^1				
19			1049,iii_1050,i										
20											466,vii_467,i		
21			1047,i_1047,ii										
22									333,i				
23									93,i^1				
24										II,027,17			
25												II,514,i	
26										II,054,3			
27					477,04_477,05								
28									340,i				
29							05,ii_05,iii						
30											178,x_179,i		
31												I,524,ii_I,524,iii	
32								2.086ab_2.089ab					
33							05,vi_05,vii						
34											465,v_465,vii		
35			1064,i_1064,ii										
36										I,073,26			
37				126,6^4									
38					205,20^2								
39											42,vi_42,vii		
40					474,01_474,02								
41					228,09_228,10								
42					478,04_478,05								
43													44,i_44,ii
44			1054,i_1054,iii										
45										II,057,10_II,057,20			
46						131,2_131,4							
47										II,058,18			
48							06,i_06,ii						
49		555,xii_555,xiv											
50						131,8_131,10							